# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
34751,0.007968471319257,1,8598,411,0,0,0,0,0,0,0,0,124490,0,14,0.876480555590844,310,0,31,283,18081,6,1949,0.000000,0.000000,1178,877763,8230,1232,0,162,82,9788,0.9916919959,0.899356288954736,468,2322,0.8322580645,54.450516351,3.114002858,6389,14082,474,152,788,4,1,2,436,5248
20878,0.244276271673532,1,2123,260,0,0,0,0,0,0,0,0,69490,0,6,0.990534426916715,511,0,47,8,19179,5,1607,0.000000,0.000000,1511,563622,25,3099,0,82,39,4932,0.9921544961,0.91808596918086,875,1588,0.6447421843,83.578715365,9.241686942,7853,4675,1336,333,224,5,4,2,793,4252
2859,0.715634837355719,282,3435,309,67,0.641791044776119,1.3134328358209,1.01492537313433,27.910447761194,5,0,0,105697,94,10,0.946010030684881,1304,44,100,134,81081,7,7229,73.340909,0.818182,1656,411250,56506,1656,0,379,39,2818,0.9863493175,0.891018814341498,1392,8127,0.8537661519,45.916154414,13.331440738,31969,8031,5319,836,411,4,1,2,15830,1685
101,0.95049504950495,3,51,4,13,0,1,0.538461538461538,46.3846153846154,1,0,0,1972,13,4,0.561216105176664,110,0,9,2,2637,3,148,0.000000,0.000000,406,1977,0,406,21,43,3,12,0.8,0.416666666666667,12,125,0.9124087591,10.523809524,44702,643,104,118,25,9,4,1,2,70,32
10989,0.11230335546058,30,6087,368,0,0,0,0,0,0,0,0,115170,48,29,0.517804370709003,335,0,27,98,9162,1,2224,0.000000,0.000000,2198,1469283,0,2209,0,104,185,11564,0.9842539791,,21,703,0.9709944751,9.558238636,10.273866091,1987,38013,578,159,845,5,2,3,78,960
5598,0.021972132904609,2,678,228,121,0,1.25619834710744,0,22.4132231404959,1,2166,3,55710,121,6,0.475322104517027,1199,0,12,34,23903,0,5747,0.000000,0.000000,1993,63294,151328,3162,6,0,19,1398,0.9865913903,0.660944206008584,35,3889,0.9910805301,14.433933162,7.917739628,15982,1314,2460,385,380,5,4,2,1487,394
1673,0.287164179104478,10,618,176,22,0.090909090909091,14.8181818181818,2.54545454545454,47.5,2,0,0,19581,46,7,0.872218330497934,186,6,30,19,16499,9,1041,13.333333,0.666667,1749,142615,7,1749,0,516,10,791,0.9875156055,0.844500632111252,292,1298,0.8163522013,147.495772483,28.525851198,9676,1365,1060,286,209,5,4,2,1571,234
8354,0.327070368597415,65,1117,156,95,0,0,0,1.12631578947368,11,515,1,43119,98,9,0.642029188492675,367,3,43,51,18290,6,1883,11.333333,1.000000,1917,215827,2287,1916,0,178,32,2836,0.9888423989,0.933356840620592,392,1062,0.7303988996,108.750705550,2.270431428,4776,6871,345,115,169,4,1,2,716,2661
7051,0.012326438084443,2,514,39,0,0,0,0,0,0,0,0,122609,3,4,0.994623154775629,151,0,13,1,2084,19,798,0.000000,0.000000,1243,289744,2,1243,0,315,93,262,0.738028169,0.33587786259542,1139,1864,0.6207126207,34.505093834,23.756653992,12564,2872,1096,441,130,4,1,2,613,311
389,0.434447300771208,4,1130,42,20,0,44743,44715,5.25,1,0,0,88207,20,6,0.939568073606207,54,4,9,9,8312,12,398,44694,0.000000,147,126390,73,170,1,156,9,156,0.9454545455,0.935897435897436,122,125,0.5060728745,7.384000000,0.782051282,483,148,133,9,48,4,1,2,105,18
